cellid,block,locus,tau,dcfpar,ks,nL,J_bar,s2a_P,s2j_P,s2a_LP,s2j_LP,mupi_ind,s2pi_ind,s2piLP_ind,eps2_soft,lambda_soft,rho2_cf_soft,rho2_mc_soft,rho_rep_soft,rho2pi_soft,rho2_mcse_soft
161,A_dcf,1,.3,1,3.6,2,.2304148579488889,-2.09340211346e-36,.0037154660456127,5.02416507231e-35,7.43256002015e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003920882703543,.7302610797949423,.3839888532303368,.3402795002580699,.3755707052752612,.2717823629357864,.0067683276565838
162,A_dcf,1,.3,1,3.6,4,.2302025934585885,-2.09340211346e-36,.0036987563684815,5.02416507231e-35,7.41994421605e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003932388389518,.7307855453991237,.5538877757356895,.5212130682605918,.5474600547405079,.4040602904715689,.0043222767219687
163,A_dcf,1,.3,1,3.6,8,.2304411134443413,-2.09340211346e-36,.0037140723939009,5.02416507231e-35,7.46382175687e-33,.0999999997348261,.0023375160728379,.002696239345115,.000391912446862,.7303798519286393,.7138134203651504,.6928434515004198,.7014818370461587,.5214214736354175,.0026310397479165
164,A_dcf,1,.3,1,3.6,12,.2301754105166069,-2.09340211346e-36,.0037215956752975,5.02416507231e-35,7.41036665017e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003928764990394,.7295261316653056,.7886996906225319,.7708509757823288,.7943889073115764,.5634289127399923,.0020351245688695
165,A_dcf,1,.3,1,3.6,16,.23024266935501,-2.09340211346e-36,.0037366934725626,5.02416507231e-35,7.47152882609e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003921379895362,.7288420259251088,.8330551119739206,.819155049969827,.8332325731438396,.6164873411018891,.0015803157430685
166,A_dcf,1,.3,2,3.6,2,.2242900414921537,.0003191775448114,.0003191775448114,5.14343121488e-34,5.37794065105e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003898785903587,.2668241246777248,.6260972878935495,.5766826058369029,.5877434716930787,.1901245403793826,.0041603035926284
167,A_dcf,1,.3,2,3.6,4,.224250022980871,.0003185240397478,.0003185240397478,5.13461757331e-34,5.34858344970e-33,.0999999997348261,.0023375160728379,.002696239345115,.000388617078921,.2671553939673139,.7702201452131008,.7318153216267094,.7441876733744324,.2430043706119493,.0021422381297306
168,A_dcf,1,.3,2,3.6,8,.2242505902805493,.0003208333408835,.0003208333408835,5.16088893247e-34,5.37220707387e-33,.0999999997348261,.0023375160728379,.002696239345115,.000389216083942,.2657444522517024,.8706647292949109,.8460452229257382,.8528578079886078,.263233486930425,.0011056806715192
169,A_dcf,1,.3,2,3.6,12,.2242298882303775,.0003192703388361,.0003192703388361,5.14471488906e-34,5.34741985307e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003897554884309,.2666623420575199,.9095136762344469,.8894468626460512,.8982136590664885,.281525944347529,.0008358919651861
170,A_dcf,1,.3,2,3.6,16,.2242877210840412,.0003184958661185,.0003184958661185,5.11900498034e-34,5.31891876945e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003917308843812,.2672385398700425,.9302071066152062,.9163446854422594,.9182079061350412,.2829290699592254,.0006159470542771
171,A_dcf,1,.3,3,3.6,2,.2280350435514198,.0003152364228724,.0039907023077668,5.12469861541e-34,7.04507207397e-33,.0999999997348261,.0023375160728379,.002696239345115,.0003982448697004,.2500928960016198,.638976102126083,.5940442340351018,.5999349235468715,.1659774555625683,.0041228256715156
